Question,SQL Query
Show me tools used for GIS DB mgmt?,SELECT * FROM data WHERE FunctionalArea = 'GIS Database'
List tools for Video Conf. solutions.,SELECT * FROM data WHERE FunctionalArea = 'Video Conference'
Which tools are used for Code review?,SELECT * FROM data WHERE FunctionalArea = 'Code review'
What tools are recommended for Static Code Analysis?,SELECT * FROM data WHERE FunctionalArea = 'Static Code Analyzer'
Show me tools for Source Code Edit.,SELECT * FROM data WHERE FunctionalArea = 'Source Code Editor'
List all the tools for Build Tool.,SELECT * FROM data WHERE FunctionalArea = 'Build Tool'
Which tools are suitable for Testing purposes?,SELECT * FROM data WHERE FunctionalArea = 'Testing'
What are the tools commonly used in Analytics & Search?,SELECT * FROM data WHERE FunctionalArea = 'Analytics and Search Engine'
Show me tools for Messaging platforms.,SELECT * FROM data WHERE FunctionalArea = 'Messaging'
What tools are recommended for Server OS?,SELECT * FROM data WHERE FunctionalArea = 'Server Operating System'
Show me tools for Mobile Native iOS dev.,SELECT * FROM data WHERE FunctionalArea = 'Mobile Native (iOS)'
List tools for DB Replication.,SELECT * FROM data WHERE FunctionalArea = 'Database Replication'
Which tools for GIS Server mgmt?,SELECT * FROM data WHERE FunctionalArea = 'GIS Server'
What tools in BI solutions?,SELECT * FROM data WHERE FunctionalArea = 'Business Intelligence (BI)'
Tools for Virtualisation?,SELECT * FROM data WHERE FunctionalArea = 'Virtualisation'
Tools for E-learning?,SELECT * FROM data WHERE FunctionalArea = 'E-learning'
Tools for Source Code Ctrl.,SELECT * FROM data WHERE FunctionalArea = 'Source Code Control'
Cross-platform app dev tools?,SELECT * FROM data WHERE FunctionalArea = 'Cross-platform'
Tools for managing Containers?,SELECT * FROM data WHERE FunctionalArea = 'Containers'
Tools for Msging?,SELECT * FROM data WHERE FunctionalArea = 'Messaging'
Tools for Web Svc Framework?,SELECT * FROM data WHERE FunctionalArea = 'Web Service Framework'
Tools for App Server?,SELECT * FROM data WHERE FunctionalArea = 'Application Server'
Testing tools?,SELECT * FROM data WHERE FunctionalArea = 'Testing'
Tools for Build?,SELECT * FROM data WHERE FunctionalArea = 'Build Tool'
Tools for Video Conf?,SELECT * FROM data WHERE FunctionalArea = 'Video Conference'
Server Side Framework tools?,SELECT * FROM data WHERE FunctionalArea = 'Server Side Framework'
Monitoring tools?,SELECT * FROM data WHERE FunctionalArea = 'Monitoring Solution'
Config Mgmt for Dist Systems?,SELECT * FROM data WHERE FunctionalArea = 'Configuration Management for Distributed Systems'
Tools for Client-side Prog Lang?,SELECT * FROM data WHERE FunctionalArea = 'Programming Language Client-side'
GIS Desktop tools?,SELECT * FROM data WHERE FunctionalArea = 'GIS Desktop'
Tools for NoSQL DB (Big Data)?,SELECT * FROM data WHERE FunctionalArea = 'Non-Relational Database (Big Data)'
Analytics/Search tools?,SELECT * FROM data WHERE FunctionalArea = 'Analytics and Search Engine'
Source Code Editor tools?,SELECT * FROM data WHERE FunctionalArea = 'Source Code Editor'
Dashboard dev tools?,SELECT * FROM data WHERE FunctionalArea = 'Dashboard'
Storage tools?,SELECT * FROM data WHERE FunctionalArea = 'Storage'
In-Mem DB tools?,SELECT * FROM data WHERE FunctionalArea = 'In-Memory Database'
IDE tools?,SELECT * FROM data WHERE FunctionalArea = 'IDE'
App Life Cycle Mgmt tools?,SELECT * FROM data WHERE FunctionalArea = 'Application Life Cycle Management / Project Management'
DB Reporting tools?,SELECT * FROM data WHERE FunctionalArea = 'Database Reporting'
Server-side API (GoLang) tools?,SELECT * FROM data WHERE FunctionalArea = 'Server-side API (GoLang)'
Net Platform/API tools?,SELECT * FROM data WHERE FunctionalArea = 'Networking Platform/API'
Doc tools?,SELECT * FROM data WHERE FunctionalArea = 'Documentation'
KM tools?,SELECT * FROM data WHERE FunctionalArea = 'Knowledge Management'
Dir Svcs tools?,SELECT * FROM data WHERE FunctionalArea = 'Directory Services'
Issue Tracking tools?,SELECT * FROM data WHERE FunctionalArea = 'Issue Tracking'
DB Admin tools?,SELECT * FROM data WHERE FunctionalArea = 'Database Administration'
Static Code Analysis tools?,SELECT * FROM data WHERE FunctionalArea = 'Static Code Analyzer'
App Dev/Deploy tools?,SELECT * FROM data WHERE FunctionalArea = 'Application Development and Deployment'
Cross-platform tools?,SELECT * FROM data WHERE FunctionalArea = 'Cross-platform'
Monitoring tools?,SELECT * FROM data WHERE FunctionalArea = 'Monitoring Solution'
GIS Srv tools?,SELECT * FROM data WHERE FunctionalArea = 'GIS Server'
Digital Archive Repo tools?,SELECT * FROM data WHERE FunctionalArea = 'Digital Archival Repository'
E-learning platform tools?,SELECT * FROM data WHERE FunctionalArea = 'E-learning'
Cloud Platform tools?,SELECT * FROM data WHERE FunctionalArea = 'Cloud Platform'
Proj Mgmt tools?,SELECT * FROM data WHERE FunctionalArea = 'Application Life Cycle Management / Project Management'
CI/CD tools?,SELECT * FROM data WHERE FunctionalArea = 'CI/CD'
BI tools?,SELECT * FROM data WHERE FunctionalArea = 'Business Intelligence (BI)'
Malware tools?,SELECT * FROM data WHERE FunctionalArea = 'Malware'
In-Memory DB tools?,SELECT * FROM data WHERE FunctionalArea = 'In-Memory Database'
Web/HTTP Srv tools?,SELECT * FROM data WHERE FunctionalArea = 'Web / HTTP Server'
Networking API tools?,SELECT * FROM data WHERE FunctionalArea = 'Networking Platform/API'
Knowledge Mgmt tools?,SELECT * FROM data WHERE FunctionalArea = 'Knowledge Management'
Client-side API tools?,SELECT * FROM data WHERE FunctionalArea = 'Client-side API'
GIS DB tools?,SELECT * FROM data WHERE FunctionalArea = 'GIS Database'
Video Conf tools?,SELECT * FROM data WHERE FunctionalArea = 'Video Conference'
Code Review tools?,SELECT * FROM data WHERE FunctionalArea = 'Code review'
Static Code Analy tools?,SELECT * FROM data WHERE FunctionalArea = 'Static Code Analyzer'
Source Code Edit tools?,SELECT * FROM data WHERE FunctionalArea = 'Source Code Editor'
Build Tool?,SELECT * FROM data WHERE FunctionalArea = 'Build Tool'
Testing tools?,SELECT * FROM data WHERE FunctionalArea = 'Testing'
Analytics tools?,SELECT * FROM data WHERE FunctionalArea = 'Analytics and Search Engine'
Msg tools?,SELECT * FROM data WHERE FunctionalArea = 'Messaging'
What are the tools for Mobile ios?,SELECT * FROM data WHERE FunctionalArea = 'Mobile Native (iOS)'
Show me tools for Mob Native (Android).,SELECT * FROM data WHERE FunctionalArea = 'Mobile Native (Android)'
List tools for Server Ops.,SELECT * FROM data WHERE FunctionalArea = 'Server Operating System'
Which tools for GIS Desk?,SELECT * FROM data WHERE FunctionalArea = 'GIS Desktop'
What tools in DB Rep?,SELECT * FROM data WHERE FunctionalArea = 'Database Replication'
Tools for Doc Mgmt?,SELECT * FROM data WHERE FunctionalArea = 'Documentation'
Tools for Knowledge Mgmt?,SELECT * FROM data WHERE FunctionalArea = 'Knowledge Management'
Tools for Source Code Cntl?,SELECT * FROM data WHERE FunctionalArea = 'Source Code Control'
Cross-plat app dev tools?,SELECT * FROM data WHERE FunctionalArea = 'Cross-platform'
Tools for managing Containers?,SELECT * FROM data WHERE FunctionalArea = 'Containers'
Tools for Msg?,SELECT * FROM data WHERE FunctionalArea = 'Messaging'
Tools for Web Svc Frmwrk?,SELECT * FROM data WHERE FunctionalArea = 'Web Service Framework'
Tools for App Srvr?,SELECT * FROM data WHERE FunctionalArea = 'Application Server'
Testing tools?,SELECT * FROM data WHERE FunctionalArea = 'Testing'
Tools for Bld Tool?,SELECT * FROM data WHERE FunctionalArea = 'Build Tool'
Tools for Video Conf?,SELECT * FROM data WHERE FunctionalArea = 'Video Conference'
Server Side Frmwrk tools?,SELECT * FROM data WHERE FunctionalArea = 'Server Side Framework'
Monitoring tools?,SELECT * FROM data WHERE FunctionalArea = 'Monitoring Solution'
Config Mgmt for Dist Sys?,SELECT * FROM data WHERE FunctionalArea = 'Configuration Management for Distributed Systems'
Tools for Client-side Lang?,SELECT * FROM data WHERE FunctionalArea = 'Programming Language Client-side'
GIS Desk tools?,SELECT * FROM data WHERE FunctionalArea = 'GIS Desktop'
Tools for NoSQL DB?,SELECT * FROM data WHERE FunctionalArea = 'Non-Relational Database (Big Data)'
Analytics/Search tools?,SELECT * FROM data WHERE FunctionalArea = 'Analytics and Search Engine'
Source Code Edit tools?,SELECT * FROM data WHERE FunctionalArea = 'Source Code Editor'
Dash dev tools?,SELECT * FROM data WHERE FunctionalArea = 'Dashboard'
Storage tools?,SELECT * FROM data WHERE FunctionalArea = 'Storage'
In-Mem DB tools?,SELECT * FROM data WHERE FunctionalArea = 'In-Memory Database'
IDE tools?,SELECT * FROM data WHERE FunctionalArea = 'IDE'
App Life Cycle Mgmt tools?,SELECT * FROM data WHERE FunctionalArea = 'Application Life Cycle Management / Project Management'
DB Report tools?,SELECT * FROM data WHERE FunctionalArea = 'Database Reporting'
Server-side API tools?,SELECT * FROM data WHERE FunctionalArea = 'Server-side API (GoLang)'
Net Platform tools?,SELECT * FROM data WHERE FunctionalArea = 'Networking Platform/API'
Doc tools?,SELECT * FROM data WHERE FunctionalArea = 'Documentation'
KM tools?,SELECT * FROM data WHERE FunctionalArea = 'Knowledge Management'
Dir Svc tools?,SELECT * FROM data WHERE FunctionalArea = 'Directory Services'
Issue Track tools?,SELECT * FROM data WHERE FunctionalArea = 'Issue Tracking'
DB Admin tools?,SELECT * FROM data WHERE FunctionalArea = 'Database Administration'
Static Code Analysis tools?,SELECT * FROM data WHERE FunctionalArea = 'Static Code Analyzer'
App Dev/Deploy tools?,SELECT * FROM data WHERE FunctionalArea = 'Application Development and Deployment'
Cross-platform tools?,SELECT * FROM data WHERE FunctionalArea = 'Cross-platform'
Monitor tools?,SELECT * FROM data WHERE FunctionalArea = 'Monitoring Solution'
GIS Server tools?,SELECT * FROM data WHERE FunctionalArea = 'GIS Server'
Digital Archive tools?,SELECT * FROM data WHERE FunctionalArea = 'Digital Archival Repository'
E-learn platform tools?,SELECT * FROM data WHERE FunctionalArea = 'E-learning'
Cloud tools?,SELECT * FROM data WHERE FunctionalArea = 'Cloud Platform'
Proj Mgmt tools?,SELECT * FROM data WHERE FunctionalArea = 'Application Life Cycle Management / Project Management'
CI/CD tools?,SELECT * FROM data WHERE FunctionalArea = 'CI/CD'
BI tools?,SELECT * FROM data WHERE FunctionalArea = 'Business Intelligence (BI)'
Malware tools?,SELECT * FROM data WHERE FunctionalArea = 'Malware'
In-Memory tools?,SELECT * FROM data WHERE FunctionalArea = 'In-Memory Database'
Web/HTTP tools?,SELECT * FROM data WHERE FunctionalArea = 'Web / HTTP Server'
Networking tools?,SELECT * FROM data WHERE FunctionalArea = 'Networking Platform/API'
Knowledge tools?,SELECT * FROM data WHERE FunctionalArea = 'Knowledge Management'
Client API tools?,SELECT * FROM data WHERE FunctionalArea = 'Client-side API'
GIS Database tools?,SELECT * FROM data WHERE FunctionalArea = 'GIS Database'
Video Conf tools?,SELECT * FROM data WHERE FunctionalArea = 'Video Conference'
Code Review tools?,SELECT * FROM data WHERE FunctionalArea = 'Code review'
Static Code Analy tools?,SELECT * FROM data WHERE FunctionalArea = 'Static Code Analyzer'
Source Code Edit tools?,SELECT * FROM data WHERE FunctionalArea = 'Source Code Editor'
Build Tool?,SELECT * FROM data WHERE FunctionalArea = 'Build Tool'
Testing tools?,SELECT * FROM data WHERE FunctionalArea = 'Testing'
Analytics tools?,SELECT * FROM data WHERE FunctionalArea = 'Analytics and Search Engine'
Messaging tools?,SELECT * FROM data WHERE FunctionalArea = 'Messaging'
Mobile dev tools for ios?,SELECT * FROM data WHERE FunctionalArea = 'Mobile Native (iOS)'
Native Android tools?,SELECT * FROM data WHERE FunctionalArea = 'Mobile Native (Android)'
Tools for Srvr OS?,SELECT * FROM data WHERE FunctionalArea = 'Server Operating System'
GIS Desk tools?,SELECT * FROM data WHERE FunctionalArea = 'GIS Desktop'
DB Replication tools?,SELECT * FROM data WHERE FunctionalArea = 'Database Replication'
Tools for Doc Mngmnt?,SELECT * FROM data WHERE FunctionalArea = 'Documentation'
KM tools?,SELECT * FROM data WHERE FunctionalArea = 'Knowledge Management'
Source Ctrl tools?,SELECT * FROM data WHERE FunctionalArea = 'Source Code Control'
Cross-plat dev tools?,SELECT * FROM data WHERE FunctionalArea = 'Cross-platform'
Container mgmt tools?,SELECT * FROM data WHERE FunctionalArea = 'Containers'
Msg tools?,SELECT * FROM data WHERE FunctionalArea = 'Messaging'
Web Svcs Frmwrk tools?,SELECT * FROM data WHERE FunctionalArea = 'Web Service Framework'
App Server tools?,SELECT * FROM data WHERE FunctionalArea = 'Application Server'
Tools for Testing?,SELECT * FROM data WHERE FunctionalArea = 'Testing'
Build Tool tools?,SELECT * FROM data WHERE FunctionalArea = 'Build Tool'
Video Conf tools?,SELECT * FROM data WHERE FunctionalArea = 'Video Conference'
Server Frmwrk tools?,SELECT * FROM data WHERE FunctionalArea = 'Server Side Framework'
Monitoring Sol tools?,SELECT * FROM data WHERE FunctionalArea = 'Monitoring Solution'
Config Mngmnt tools?,SELECT * FROM data WHERE FunctionalArea = 'Configuration Management for Distributed Systems'
Client-side Lang tools?,SELECT * FROM data WHERE FunctionalArea = 'Programming Language Client-side'
GIS Desk tools?,SELECT * FROM data WHERE FunctionalArea = 'GIS Desktop'
NoSQL tools?,SELECT * FROM data WHERE FunctionalArea = 'Non-Relational Database (Big Data)'
Analytics/Search tools?,SELECT * FROM data WHERE FunctionalArea = 'Analytics and Search Engine'
Source Code Edit tools?,SELECT * FROM data WHERE FunctionalArea = 'Source Code Editor'
Dash dev tools?,SELECT * FROM data WHERE FunctionalArea = 'Dashboard'
Storage tools?,SELECT * FROM data WHERE FunctionalArea = 'Storage'
In-Mem DB tools?,SELECT * FROM data WHERE FunctionalArea = 'In-Memory Database'
IDE tools?,SELECT * FROM data WHERE FunctionalArea = 'IDE'
App Lifecycle Mgmt tools?,SELECT * FROM data WHERE FunctionalArea = 'Application Life Cycle Management / Project Management'
DB Report tools?,SELECT * FROM data WHERE FunctionalArea = 'Database Reporting'
Server-side API tools?,SELECT * FROM data WHERE FunctionalArea = 'Server-side API (GoLang)'
Networking Platform tools?,SELECT * FROM data WHERE FunctionalArea = 'Networking Platform/API'
Doc tools?,SELECT * FROM data WHERE FunctionalArea = 'Documentation'
KM tools?,SELECT * FROM data WHERE FunctionalArea = 'Knowledge Management'
Directory Svc tools?,SELECT * FROM data WHERE FunctionalArea = 'Directory Services'
Issue Track tools?,SELECT * FROM data WHERE FunctionalArea = 'Issue Tracking'
DB Admin tools?,SELECT * FROM data WHERE FunctionalArea = 'Database Administration'
Static Code Analyzer tools?,SELECT * FROM data WHERE FunctionalArea = 'Static Code Analyzer'
App Dev/Deploy tools?,SELECT * FROM data WHERE FunctionalArea = 'Application Development and Deployment'
Cross-platform tools?,SELECT * FROM data WHERE FunctionalArea = 'Cross-platform'
Monitoring tools?,SELECT * FROM data WHERE FunctionalArea = 'Monitoring Solution'
GIS Server tools?,SELECT * FROM data WHERE FunctionalArea = 'GIS Server'
Digital Archival tools?,SELECT * FROM data WHERE FunctionalArea = 'Digital Archival Repository'
E-learning tools?,SELECT * FROM data WHERE FunctionalArea = 'E-learning'
Cloud Platform tools?,SELECT * FROM data WHERE FunctionalArea = 'Cloud Platform'
Proj Mgmt tools?,SELECT * FROM data WHERE FunctionalArea = 'Application Life Cycle Management / Project Management'
CI/CD tools?,SELECT * FROM data WHERE FunctionalArea = 'CI/CD'
BI tools?,SELECT * FROM data WHERE FunctionalArea = 'Business Intelligence (BI)'
Malware tools?,SELECT * FROM data WHERE FunctionalArea = 'Malware'
In-Mem DB tools?,SELECT * FROM data WHERE FunctionalArea = 'In-Memory Database'
Web Server tools?,SELECT * FROM data WHERE FunctionalArea = 'Web / HTTP Server'
Networking tools?,SELECT * FROM data WHERE FunctionalArea = 'Networking Platform/API'
Knowledge Mgmt tools?,SELECT * FROM data WHERE FunctionalArea = 'Knowledge Management'
Client-side API tools?,SELECT * FROM data WHERE FunctionalArea = 'Client-side API'
GIS DB tools?,SELECT * FROM data WHERE FunctionalArea = 'GIS Database'
Video Conf tools?,SELECT * FROM data WHERE FunctionalArea = 'Video Conference'
Code Review tools?,SELECT * FROM data WHERE FunctionalArea = 'Code review'
Static Code Analy tools?,SELECT * FROM data WHERE FunctionalArea = 'Static Code Analyzer'
Source Edit tools?,SELECT * FROM data WHERE FunctionalArea = 'Source Code Editor'
Build Tool tools?,SELECT * FROM data WHERE FunctionalArea = 'Build Tool'
Testing tools?,SELECT * FROM data WHERE FunctionalArea = 'Testing'
Analytics tools?,SELECT * FROM data WHERE FunctionalArea = 'Analytics and Search Engine'
Msg tools?,SELECT * FROM data WHERE FunctionalArea = 'Messaging'
List the tools used in Solutions for Source Code Management Dev Ops & Documentation.,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation';"
Which tools should I consider for Solutions for Source Code Management Dev Ops & Documentation?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation';"
What tool is commonly used in Solutions for Source Code Management Dev Ops & Documentation?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation';"
What tools are recommended for Solutions for Infrastructure?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure';
List the tools used in Solutions for Infrastructure.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure';
Which tools should I consider for Solutions for Infrastructure?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure';
What tool is commonly used in Solutions for Infrastructure?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure';
What tools are recommended for Solutions for GIS?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
List the tools used in Solutions for GIS.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
Which tools should I consider for Solutions for GIS?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
What tool is commonly used in Solutions for GIS?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
What tools are recommended for Solutions for Data Management?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management';
List the tools used in Solutions for Data Management.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management';
Which tools should I consider for Solutions for Data Management?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management';
What tool is commonly used in Solutions for Data Management?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management';
What tools are recommended for Solutions for Mobile Application Development Data Management GIS DevOps?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps';"
List the tools used in Solutions for Mobile Application Development Data Management GIS DevOps.,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps';"
Which tools should I consider for Solutions for Mobile Application Development Data Management GIS DevOps?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps';"
What tool is commonly used in Solutions for Mobile Application Development Data Management GIS DevOps?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps';"
What tools are recommended for Solutions for Data Analytics?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics';
List the tools used in Solutions for Data Analytics.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics';
Which tools should I consider for Solutions for Data Analytics?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics';
What tool is commonly used in Solutions for Data Analytics?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics';
What tools are recommended for Solutions Testing?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing';
List the tools used in Solutions for Application Testing.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing';

Question	Answer
What are the tools for Solutions for Portal,e-Learning,KMS,BII,etc?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc'
Can you list the tools for Solutions for Portla,e-Learning,KMS,BI,etc?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc'
What tools are available for Solutions for Portal,e-Learnig,KMS,BI,etc?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc'
What software is used in Solutions for Portal,e-Learning,KMS,BII,etc?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc'
Which tools are included in Solutions for Portal,e-Learning,KMS,B,Ietc?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc'
What are the main tools for Solutions for Apllication Development and Deployment?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment'
List tools for Solutions for Appliction Development and Deployment?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment'
What are common tools in Solutions for Application Developmnt and Deployment?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment'
What are the preferred tools for Solutions for Application Development and Deploment?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment'
Which tools are used in Solutions for Application Developmnt and Deployment?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment'
What are the tools for Solutions for Source Code Management,Dev Ops & Documenation?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation'
Which tools are used for Solutions for Source Code Managemnt,Dev Ops & Documentation?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation'
List the tools for Solutions for Source Code Managment,Dev Ops & Documentation?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation'
What tools are included in Solutions for Source Code Management,Dev Ops & Documetation?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation'
What are the popular tools for Solutions for Source Code Management,Dev Oops & Documentation?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation'
What are the key tools for Solutions for Infrastructuree?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure'
Can you list the tools for Solutions for Infrastruture?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure'
What are the tools used in Solutions for Infrastructre?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure'
Which tools are available for Solutions for Inftrastructure?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure'
What software is used for Solutions for Infrastructuree?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure'
What tools are used for Solutions for GIS?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
List the tools included in Solutions for GIS?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
What are the main tools in Solutions for GISS?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
Which tools are popular in Solutions for GIIS?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
What are the essential tools for Solutions for GIS?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
What tools are used in Solutions for Data Managementt?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management'
Can you list the tools for Solutions for Data Mannagement?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management'
What are the primary tools for Solutions for Data Managment?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management'
Which tools are included in Solutions for Dtaa Management?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management'
What software is used for Solutions for Data Manegement?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management'
What are the tools for Solutions for Mobile Applicatione Development?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development'
List the tools for Solutions for Mobil Application Development?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development'
What are the popular tools in Solutions for Mobile Application Developmet?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development'
What software is used in Solutions for Mobile Aplication Development?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development'
Which tools are used for Solutions for Moblie Application Development?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development'
What are the tools for Solutions for Data Analyitcs?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics'
What tools are used in Solutions for Data Anlytics?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics'
List the tools for Solutions for Data Analytcis?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics'
What are the main tools in Solutions for Data Analyttics?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics'
What are common tools in Solutions for Dtaa Analytics?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics'
What are the tools for Solutions for Application Testin?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing'
Can you list the tools for Solutions for Application Testng?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing'
What tools are used in Solutions for Applicatione Testing?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing'
Which tools are included in Solutions for Applicatoin Testing?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing'
What software is used in Solutions for Appliction Testing?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing'
What are the popular tools in Solutions for Application Testing?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing'
List the key tools for Solutions for Application Testing?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing'
What are the main tools for Solutions for Application Testing?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing'
What tools are commonly used in Solutions for Application Testing?	SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing'
